id	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	gene_length
Gene0001	64	2127	2869	4403	567	1772	4679	4992	6693	5639	5952	8086	6999	3546	1866
Gene0002	2324	4325	3999	3815	59	4547	2073	9866	7990	3952	6750	8430	5617	9820	7562
Gene0003	2071	555	2836	687	2974	4055	492	7114	5217	5193	5432	3253	9689	5259	10167
Gene0004	1107	4321	4661	38	1820	2939	1366	3608	9920	4950	3346	8341	5707	9756	7060
Gene0005	3503	3762	4878	2829	4609	4735	7	7189	7936	8842	3564	5073	5776	4335	8202
Gene0006	2040	4218	2840	2506	2462	1990	451	7583	3039	7599	6390	9376	8403	3400	10236
Gene0007	3599	3454	3366	3556	1550	645	1679	6963	6338	3631	6443	9323	6754	7837	12458
Gene0008	2666	2293	4948	265	2815	2989	4820	7301	7499	7344	6252	7359	3572	9716	4697
Gene0009	1273	4248	706	4169	4109	3053	384	8069	4076	6420	7410	3265	3210	4178	14325
Gene0010	2175	4288	4214	769	4132	4866	3771	4731	7761	6428	7455	6614	8067	9676	7437
Gene0011	3529	4117	4419	2939	4823	1805	3711	6484	3751	7564	4074	6947	3987	8132	13662
Gene0012	2686	4338	4047	2994	3339	644	4103	8071	5689	5273	3765	5859	4879	9731	1056
Gene0013	3347	1754	1328	972	1757	2821	793	5592	4004	6215	5022	9144	4266	5114	12164
Gene0014	955	4491	1088	3911	3792	1413	3135	6679	8503	9908	5323	6168	9912	9468	7969
Gene0015	4041	31	182	3485	2156	1505	2691	8531	8037	9118	5011	3115	4290	4793	5271
Gene0016	358	1368	2171	2164	4348	986	3779	8132	5932	4002	5005	9007	6025	3996	13685
Gene0017	4298	2310	1617	4062	3101	3617	2082	4879	9804	5793	3852	3927	7583	3747	10056
Gene0018	368	1238	2881	4802	2285	3834	366	5179	8535	9406	9227	5908	5557	9313	9148
Gene0019	65	3333	4285	1410	3757	1077	982	8624	3245	8890	5441	8184	5662	4435	12005
Gene0020	2330	104	1977	4473	2074	3498	2119	3842	6725	8520	8999	8930	3993	3228	12891
Gene0021	1353	2393	1626	3574	2828	4129	3913	5308	5290	4446	8488	7879	7946	4042	4704
Gene0022	1549	4896	3677	4090	238	1334	1804	8368	6093	9043	7096	9153	4967	9610	12069
Gene0023	1264	1818	3853	2209	141	4918	4230	8697	8428	7241	8236	7521	6865	6394	1517
Gene0024	2280	3547	1556	2154	1604	1962	619	4155	8384	4334	7575	9484	9651	5565	10448
Gene0025	1329	2112	4016	3009	1947	4858	2387	6659	6375	9317	7830	4109	7786	7847	13567
Gene0026	4828	2569	465	2156	1938	3668	3128	9367	7602	9004	4009	5097	3252	6641	2392
Gene0027	4765	1985	2065	1788	3631	2493	4563	4594	7280	4046	7966	4702	7402	8995	12837
Gene0028	3896	4783	2124	660	976	2035	938	8887	7281	5065	7786	5231	5675	4566	14632
Gene0029	724	4221	4566	3254	3524	4081	1823	5782	4124	9060	5036	3118	3741	4789	14498
Gene0030	94	140	585	4762	390	4288	177	6931	7136	8640	6666	3551	5377	6800	1655
Gene0031	4173	4791	4660	3544	748	3085	4948	6793	3779	3204	4274	7760	5484	6176	14078
Gene0032	3416	2666	3350	4639	4411	3036	3051	4388	8291	6736	8036	6487	8108	3514	2604
Gene0033	4776	3078	1759	972	169	3341	3208	7542	8737	6029	9016	8908	9916	6648	7009
Gene0034	1603	4587	4211	890	3990	2146	2031	3725	5215	9137	7574	8003	6737	3698	1832
Gene0035	355	2810	2696	3183	4515	19	706	6313	7570	9511	5026	9916	6317	8858	6071
Gene0036	1979	114	4861	4031	2304	657	1992	8277	9767	4021	5791	9430	7869	5095	503
Gene0037	1973	1269	1826	4727	1319	951	1770	6822	9874	8451	6342	8036	4177	8004	5439
Gene0038	1809	2380	967	1644	2793	2411	3973	7489	8585	9547	4324	9739	3610	6604	4563
Gene0039	3253	4096	4089	725	3383	1750	704	8828	5426	7143	3602	8285	9654	4070	5959
Gene0040	4166	1503	3180	113	2976	4794	4752	7597	7616	9451	9547	8759	5408	3040	1367
Gene0041	2646	4329	4531	3019	2407	3025	2675	7409	3304	7934	3597	3818	8648	9797	1018
Gene0042	985	1959	4902	3861	438	2143	187	8040	3668	7982	6126	3327	8965	3716	3677
Gene0043	1653	3189	1909	900	4906	662	1703	6171	7219	7888	3294	4521	5774	7685	13305
Gene0044	3418	3570	1580	2647	3001	944	4632	7895	8755	6672	3324	4346	9747	7758	12187
Gene0045	4601	4828	4883	2365	2815	4	1218	5663	7981	3777	6865	8727	7098	7266	13581
Gene0046	3530	982	547	2165	3382	1400	397	5105	9139	9855	5448	6941	7075	4260	14302
Gene0047	2076	3311	672	4799	3243	1407	2627	7094	5142	9151	9906	8242	3924	3358	14429
Gene0048	3523	4426	892	2761	3022	32	3427	9573	8998	9688	7337	7009	4623	4143	5585
Gene0049	4	4064	4537	3693	1473	3954	4427	3034	9641	5405	8308	5411	3500	4658	12821
Gene0050	1290	2332	20	1953	2821	4527	1300	9856	4851	3612	9270	3764	8272	4003	9039
Gene0051	4756	4490	2752	1270	1422	4509	4535	4017	9409	9613	5613	8968	8800	3599	12733
Gene0052	3756	2915	4528	4915	4104	1517	3892	3088	9073	3937	4871	5165	8916	4167	10023
Gene0053	3869	4307	3796	1483	572	1274	3446	5111	3769	7332	7809	4570	8425	5181	13104
Gene0054	1098	2199	4725	2200	3500	2919	4883	7415	9793	5613	7759	6721	5050	7178	8402
Gene0055	3466	2311	4974	2549	1763	4074	1495	9676	5412	9323	5819	9618	4659	6335	1934
Gene0056	3517	664	2545	4927	1025	4527	3003	8179	9449	8309	8396	3819	4064	8563	14610
Gene0057	830	1959	2968	557	1146	3931	375	9141	4942	6138	8595	7466	9668	8623	1900
Gene0058	2571	869	1407	3427	4045	4949	1613	3554	8131	6220	4537	3389	3400	7107	3421
Gene0059	2456	3129	1864	695	4064	1623	4403	3765	6905	9561	3527	8900	6282	3738	11845
Gene0060	2753	3339	902	3593	3314	518	603	4108	4025	3123	5817	8614	5467	4841	6549
Gene0061	1616	1487	2250	2021	1072	2698	4470	5508	3758	6435	6909	5603	6994	5614	9602
Gene0062	3551	4974	2147	4678	1193	4923	923	8589	8538	6306	9790	7901	3233	3199	14306
Gene0063	4262	2134	4105	5000	1349	1409	3557	5753	9480	7498	3240	8015	5904	7080	4624
Gene0064	1070	3454	4454	1725	4420	3193	4876	6350	9081	9942	9764	6762	3039	4114	4192
Gene0065	4919	322	1310	1178	4411	617	4049	9631	5018	6112	6743	3629	5023	8442	9836
Gene0066	2355	3349	4162	370	498	4427	539	4775	5325	7366	8204	9551	4757	8751	14310
Gene0067	4183	1541	4922	3798	481	1394	4596	4685	4539	7222	6411	8253	8786	5536	5220
Gene0068	3383	1805	3605	1338	1492	540	4848	4266	9726	6294	6651	6098	8074	7031	5936
Gene0069	4725	1491	4136	4957	711	2149	4092	9151	3730	8722	9428	3243	9103	8483	7705
Gene0070	256	4986	2100	4461	1010	4827	1043	7458	9877	3655	7177	6989	3021	3085	4588
Gene0071	2106	431	2465	3096	4088	3513	2570	5850	9070	4110	7538	5623	7113	8627	8140
Gene0072	726	4350	125	1231	2390	2370	2563	8921	3008	3569	6025	6032	9421	3292	2658
Gene0073	4547	226	2533	1545	4641	4000	3357	4470	6872	9960	5817	3175	3849	4655	5617
Gene0074	3211	2666	2391	2724	2010	551	4951	6181	6930	8421	3509	6997	5462	6220	11738
Gene0075	3375	3410	1420	1650	746	4777	4489	9461	5396	5351	3312	6339	5938	7583	10875
Gene0076	2940	3589	2345	218	1934	2967	395	9462	6948	3338	3045	6922	6959	6184	7731
Gene0077	2513	2034	4660	4607	4324	44	4384	9995	3475	3430	6180	5283	7561	6224	1283
Gene0078	3485	4323	2491	1101	4999	2623	4632	9944	7106	6839	6010	8986	9506	4104	10328
Gene0079	1213	3640	1691	2913	3012	3713	400	7742	3528	5423	4456	9477	6226	3082	11076
Gene0080	4000	3866	3839	3468	2726	2174	1092	8004	9585	5991	4327	5498	4649	5210	14236
